Directorio examinado: \\192.168.2.80\Grupo Arga Metals\ARGA METALS CORPORATE SYSTEM\PRODUCTO_TEST\CLIENTE_TEST\SIEMENS 25097-01\MODEL CORE FILES\AutoDXF
--------------------------------------------------
Nombre: BA-P01, Steel, Carbon, QTY 1, Cal 0.188 | Extensión: .dxf
Nombre: PA-P12, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PA-P13, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: PAJB-P01, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: PC-P01, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PC-P03, Steel, Carbon, QTY 3, Cal 0.105 | Extensión: .dxf
Nombre: PC-P04, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: PC-P05, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PC-P06, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PE-P01, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PE-P02, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PE-P03, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PE-P04, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: PE-P05, Steel, Carbon, QTY 4, Cal 0.25 | Extensión: .dxf
Nombre: PE-P06, Steel, Carbon, QTY 10, Cal 0.105 | Extensión: .dxf
Nombre: PE-P07, Steel, Carbon, QTY 4, Cal 0.25 | Extensión: .dxf
Nombre: PE-P08, Steel, Carbon, QTY 4, Cal 0.25 | Extensión: .dxf
Nombre: PE-P09, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: PU-P01, Steel, Carbon, QTY 2, Cal 0.075 | Extensión: .dxf
Nombre: RC-P01, Steel, Carbon, QTY 5, Cal 0.105 | Extensión: .dxf
Nombre: RC-P02, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RC-P03, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RC-P04, Steel, Carbon, QTY 5, Cal 0.105 | Extensión: .dxf
Nombre: RC-P05, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RC-P06, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RI-P01, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RI-P02, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RI-P04, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RP-P01, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RS-P01, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RS-P02, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RS-P03, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RS-P04, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P01, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P01_MIR1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P03, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P03_MIR1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P04, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P04_MIR1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P05, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P06, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P07, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P07_MIR1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P09, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RSTC-P09_MIR1, Steel, Carbon, QTY 1, Cal 0.105 | Extensión: .dxf
Nombre: RU-P01, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: RU-P011, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: TC-P01, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: TC-P02, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: TC-P03, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: TC-P04, Steel, Carbon, QTY 2, Cal 0.075 | Extensión: .dxf
Nombre: TC-P05, Steel, Carbon, QTY 2, Cal 0.105 | Extensión: .dxf
Nombre: TC-P06, Steel, Carbon, QTY 1, Cal 0.075 | Extensión: .dxf
Nombre: TC-P07, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: TC-P08, Steel, Carbon, QTY 4, Cal 0.188 | Extensión: .dxf
Nombre: _DT_CHM_GRDANG1, Steel, Carbon, QTY 2, Cal 0.25 | Extensión: .dxf
Nombre: _DT_CHM_GRDANG11, Steel, Carbon, QTY 2, Cal 0.25 | Extensión: .dxf
--------------------------------------------------
Total de archivos encontrados: 100
